date,open,high,low,close,Volume ETH,Volume USDT
12/31/2017 0:00,680.01,740,672.86,733.98,62628.24458,44570894.8
1/1/2018 0:00,733.01,763.55,716.8,754.99,53909.25885,40049370.59
1/2/2018 0:00,754.99,899.5,749.06,855.28,113257.7836,95749946.06
1/3/2018 0:00,855.13,950.01,810,934.03,89041.45688,78173093.71
1/4/2018 0:00,934.03,1009.72,890.01,940,102894.4738,97740086.59
1/5/2018 0:00,940,1045,930,959.3,97374.0163,95739901.48
1/6/2018 0:00,958,1017.56,950,1004.11,71954.27895,71196052.34
1/7/2018 0:00,1003.71,1125,999.9,1123.09,65278.81957,70126945.17
1/8/2018 0:00,1123.09,1239.18,910,1133.18,158831.548,176599793.2
1/9/2018 0:00,1133.18,1326.5,1104.85,1291,118702.8868,143246762.1
1/10/2018 0:00,1291,1440,1201.1,1247,160185.0129,210902815.5
1/11/2018 0:00,1249.03,1332.49,1021,1138.93,194546.2939,230792205.9
1/12/2018 0:00,1136.45,1288.5,1069.01,1253.87,93763.47261,113367281.8
1/13/2018 0:00,1253.87,1427.01,1252,1388.02,75893.43201,101824625.3
1/14/2018 0:00,1388.1,1391.89,1220.89,1347,98391.19585,128517479.7
1/15/2018 0:00,1347.99,1383.13,1258.12,1271,69236.70476,90732886.24
1/16/2018 0:00,1268.67,1275.01,780,1000,343889.3651,355819297.5
1/17/2018 0:00,999.99,1075.51,755,1000,436333.6733,398063123.7
1/18/2018 0:00,1000,1075.2,924.21,994,294545.7121,296964713.7
1/19/2018 0:00,993.3,1079,941,1032.5,167954.1125,171217738.3
1/20/2018 0:00,1032.5,1165.4,1031,1152.75,123352.5836,137333158.1
1/21/2018 0:00,1150.37,1152.69,998,1049,175031.0079,186353755.6
1/22/2018 0:00,1049,1090.15,908,993,185212.52,185276703.4
1/23/2018 0:00,993,1030,909,980,160159.6396,156053774.3
1/24/2018 0:00,981.2,1074,953.09,1061,134257.7947,135793371.3
1/25/2018 0:00,1060.34,1115,1030.26,1056.52,119415.935,127855243.2
1/26/2018 0:00,1055.29,1082,986,1051.03,145113.638,150237011.3
1/27/2018 0:00,1051.03,1127.99,1032.2,1118.99,96894.33839,105043056.4
1/28/2018 0:00,1118.99,1277,1112,1251.96,143510.7359,173283524.9
