Date,Open,High,Low,Adj Close,Volume,RSI,EMA_short,EMA_long
12/31/2021,47169.37109,48472.52734,45819.95313,46306.44531,36974172400,38.84054197,48915.28828,52190.51206
1/1/2022,46311.74609,47827.3125,46288.48438,47686.8125,24582667004,43.74118981,48798.29059,52101.32989
1/2/2022,47680.92578,47881.40625,46856.9375,47345.21875,27951569547,42.83121623,48659.9028,52007.14947
1/3/2022,47343.54297,47510.72656,45835.96484,46458.11719,33071628362,40.48759804,48450.20893,51897.26764
1/4/2022,46458.85156,47406.54688,45752.46484,45897.57422,42494677905,39.04132662,48207.10086,51778.46183
1/5/2022,45899.35938,46929.04688,42798.22266,43569.00391,36851084859,33.68562818,47765.37734,51615.89831
1/6/2022,43565.51172,43748.71875,42645.53906,43160.92969,30208048289,32.83975647,47326.85852,51448.47319
1/7/2022,43153.57031,43153.57031,41077.44531,41557.90234,84196607520,29.70074966,46777.43412,51252.6203
1/8/2022,41561.46484,42228.94141,40672.27734,41733.94141,28066355845,30.48258854,46297.10148,51064.13161
1/9/2022,41734.72656,42663.94922,41338.16016,41911.60156,21294384372,31.30865089,45879.43482,50882.89339
1/10/2022,41910.23047,42199.48438,39796.57031,41821.26172,32104232331,31.10726291,45492.94215,50703.45514
1/11/2022,41819.50781,43001.15625,41407.75391,42735.85547,26327648900,35.60054333,45230.36246,50545.68089
1/12/2022,42742.17969,44135.36719,42528.98828,43949.10156,33499938689,41.06385188,45108.33761,50415.05556
1/13/2022,43946.74219,44278.42188,42447.04297,42591.57031,47691135082,37.2730379,44868.64549,50260.13506
1/14/2022,42598.87109,43346.6875,41982.61719,43099.69922,23577403399,39.51241048,44700.17442,50118.34425
1/15/2022,43101.89844,43724.67188,42669.03516,43177.39844,18371348298,39.86414224,44555.14813,49980.89978
1/16/2022,43172.03906,43436.80859,42691.02344,43113.87891,17902097845,39.66213115,44417.8844,49844.91916
1/17/2022,43118.12109,43179.39063,41680.32031,42250.55078,21690904261,36.93642244,44211.47167,49694.53563
1/18/2022,42250.07422,42534.40234,41392.21484,42375.63281,22417209227,37.60208743,44036.62988,49549.60686
1/19/2022,42374.03906,42478.30469,41242.91406,41744.32813,23091543258,35.5716552,43818.31542,49395.04689
1/20/2022,41744.02734,43413.02344,40672.82422,40680.41797,20382033940,32.4115237,43519.46805,49222.47998
1/21/2022,40699.60547,41060.52734,35791.42578,36457.31641,43011992031,23.523684,42846.88218,48969.70446
1/22/2022,36471.58984,36688.8125,34349.25,35030.25,39714385405,21.39912561,42102.44102,48693.67566
1/23/2022,35047.35938,36433.3125,34784.96875,36276.80469,26017975951,27.52518012,41547.61851,48447.79703
1/24/2022,36275.73438,37247.51953,33184.05859,36654.32813,41856658597,29.31285978,41081.59085,48214.26299
1/25/2022,36654.80469,37444.57031,35779.42969,36954.00391,26428189594,30.76529689,40688.48733,47991.28756
1/26/2022,36950.51563,38825.41016,36374.90625,36852.12109,31324598034,30.53674116,40323.11912,47770.71001
1/27/2022,36841.87891,37148.32422,35629.28125,37138.23438,25041426629,32.05548909,40019.79676,47560.16594
1/28/2022,37128.44531,37952.87891,36211.10938,37784.33203,22238830523,35.46915689,39806.89536,47366.58507
1/29/2022,37780.71484,38576.26172,37406.47266,38138.17969,17194183075,37.31713614,39647.97006,47183.84437
1/30/2022,38151.91797,38266.33984,37437.71094,37917.60156,14643548444,36.61677952,39483.17306,47000.35441
1/31/2022,37920.28125,38647.26172,36733.57422,38483.125,20734730465,39.72423593,39387.93039,46831.6964
2/1/2022,38481.76563,39115.13281,38113.66406,38743.27344,20288500328,41.14636134,39326.53449,46671.52961
2/2/2022,38743.71484,38834.61719,36832.73047,36952.98438,19155189416,35.04907137,39100.4821,46479.08317
2/3/2022,36944.80469,37154.60156,36375.53906,37154.60156,18591534769,36.19000851,38915.16014,46294.43997
2/4/2022,37149.26563,41527.78516,37093.62891,41500.875,29412210792,54.60697793,39161.4187,46199.51789
2/5/2022,41501.48047,41847.16406,41038.09766,41441.16406,19652846215,54.37596488,39378.5373,46105.29306
2/6/2022,41441.12109,42500.78516,41244.90625,42412.43359,16142097334,57.50879286,39667.47981,46032.16713
2/7/2022,42406.78125,44401.86328,41748.15625,43840.28516,28641855926,61.65592301,40064.88984,45988.76353
2/8/2022,43854.65234,45293.86719,42807.83594,44118.44531,33079398868,62.42145551,40450.94274,45951.72753
2/9/2022,44096.70313,44727.80078,43232.96875,44338.79688,23245887300,63.04762533,40821.21457,45919.7883
2/10/2022,44347.80078,45661.17188,43402.80859,43565.11328,32142048537,59.32861918,41082.53825,45873.16108
2/11/2022,43571.12891,43810.83203,42114.53906,42407.9375,26954925781,54.20478614,41208.76675,45804.54279
2/12/2022,42412.30078,42992.55078,41852.57422,42244.46875,18152390304,53.50538417,41307.40504,45734.04627
2/13/2022,42236.56641,42693.05469,41950.94141,42197.51563,14741589015,53.29376326,41392.17747,45664.01596
2/14/2022,42157.39844,42775.77734,41681.95703,42586.91797,20827783012,54.87950421,41505.96228,45603.08333
2/15/2022,42586.46484,44667.21875,42491.03516,44575.20313,22721659051,61.94732995,41798.27094,45582.72927
2/16/2022,44578.27734,44578.27734,43456.69141,43961.85938,19792547657,58.89802272,42004.32698,45550.63283
2/17/2022,43937.07031,44132.97266,40249.37109,40538.01172,26246662813,45.50183528,41864.6779,45451.37301
2/18/2022,40552.13281,40929.15234,39637.61719,40030.97656,23310007704,43.91694399,41690.03968,45344.03842
2/19/2022,40026.02344,40418.87891,39713.05859,40122.15625,13736557863,44.290814,41540.71745,45240.63482
2/20/2022,40118.10156,40119.89063,38112.8125,38431.37891,18340576452,39.11073403,41244.58997,45105.79807
2/21/2022,38423.21094,39394.4375,36950.47656,37075.28125,29280402798,35.53887547,40847.51295,44946.77793
2/22/2022,37068.76953,38359.85547,36488.93359,38286.02734,25493150450,40.71789158,40603.56194,44814.88188
2/23/2022,38285.28125,39122.39453,37201.81641,37296.57031,21849073843,38.04170468,40288.61036,44666.00442
2/24/2022,37278.56641,38968.83984,34459.21875,38332.60938,46383802093,42.29647314,40102.32455,44540.59066
2/25/2022,38333.74609,39630.32422,38111.34375,39214.21875,26545599159,45.69639125,40017.74304,44435.11795
2/26/2022,39213.08203,40005.34766,38702.53516,39105.14844,17467554129,45.34226114,39930.82927,44329.574
2/27/2022,39098.69922,39778.94141,37268.97656,37709.78516,23450127612,40.98829762,39719.30126,44198.48907
2/28/2022,37706,43760.45703,37518.21484,43193.23438,35690014104,57.97806457,40050.15203,44178.58304
3/1/2022,43194.50391,44793.60156,42952.58594,44354.63672,32479047645,60.55516597,40460.10296,44182.06925
3/2/2022,44357.61719,45077.57813,43432.85156,43924.11719,29183112630,59.11527841,40790.00907,44176.96129
3/3/2022,43925.19531,44021.57813,41914.75,42451.78906,24967782593,54.37753166,40948.27383,44142.79946
3/4/2022,42458.14063,42479.61328,38805.84766,39137.60547,28516271427,45.56945447,40775.82923,44043.68671
3/5/2022,39148.44922,39566.33594,38777.03516,39400.58594,16975917450,46.30884608,40644.85368,43951.74412
3/6/2022,39404.19922,39640.17578,38211.64844,38419.98438,19745229902,43.92501199,40432.96136,43842.20432
3/7/2022,38429.30469,39430.22656,37260.20313,38062.03906,28546143503,43.05814062,40207.15924,43727.7456
3/8/2022,38059.90234,39304.44141,37957.38672,38737.26953,25776583476,45.24231073,40067.16974,43628.9243
3/9/2022,38742.81641,42465.67188,38706.09375,41982.92578,32284121034,54.27508983,40249.6227,43596.33027
3/10/2022,41974.07031,42004.72656,38832.94141,39437.46094,31078064711,47.66772206,40172.27396,43513.97642
3/11/2022,39439.96875,40081.67969,38347.43359,38794.97266,26364890465,46.14841333,40041.10241,43420.5308
3/12/2022,38794.46484,39308.59766,38772.53516,38904.01172,14616450657,46.45871957,39932.80806,43331.09478
3/13/2022,38884.72656,39209.35156,37728.14453,37849.66406,17300745310,43.84148747,39734.41339,43222.55159
3/14/2022,37846.31641,39742.5,37680.73438,39666.75391,24322159070,49.13285748,39727.96963,43152.13976
3/15/2022,39664.25,39794.62891,38310.21094,39338.78516,23934000868,48.25362889,39690.90444,43076.62779
3/16/2022,39335.57031,41465.45313,39022.34766,41143.92969,39616916192,53.19312003,39829.2878,43038.35654
3/17/2022,41140.84375,41287.53516,40662.87109,40951.37891,22009601093,52.61908012,39936.15362,42997.03025
3/18/2022,40944.83984,42195.74609,40302.39844,41801.15625,34421564942,54.91945628,40113.77292,42973.34957
3/19/2022,41794.64844,42316.55469,41602.66797,42190.65234,19664853187,55.96927046,40311.57096,42957.85062
3/20/2022,42191.40625,42241.16406,41004.75781,41247.82422,20127946682,52.78142648,40400.73793,42923.98871
3/21/2022,41246.13281,41454.41016,40668.04297,41077.99609,24615543271,52.20754659,40465.23871,42887.4344
3/22/2022,41074.10547,43124.70703,40948.28125,42358.80859,32004652376,56.06736032,40645.5787,42876.96656
3/23/2022,42364.37891,42893.50781,41877.50781,42892.95703,25242943069,57.59752393,40859.61473,42877.28321
3/24/2022,42886.65234,44131.85547,42726.16406,43960.93359,31042992291,60.54162521,41154.97843,42898.74163
3/25/2022,43964.54688,44999.49219,43706.28516,44348.73047,30574413034,61.57946599,41459.14529,42927.45428
3/26/2022,44349.85938,44735.99609,44166.27344,44500.82813,16950455995,61.99947879,41748.82937,42958.6102
3/27/2022,44505.35547,46827.54688,44437.29297,46820.49219,28160889722,67.75885431,42231.84488,43035.08311
3/28/2022,46821.85156,48086.83594,46690.20313,47128.00391,36362175703,68.43828665,42698.14574,43116.13105
3/29/2022,47100.4375,48022.28906,47100.4375,47465.73047,31397059069,69.20199083,43152.20143,43202.26173
3/30/2022,47456.89844,47655.14844,46746.21094,47062.66406,29333883962,67.1250514,43524.62644,43278.70534
3/31/2022,47062.14844,47512.02734,45390.53906,45538.67578,33327427106,59.84848268,43716.44066,43323.45723
4/1/2022,45554.16406,46616.24219,44403.14063,46281.64453,38162644287,62.00015425,43960.74579,43382.03519
4/2/2022,46285.5,47028.28125,45782.51172,45868.94922,29336594194,60.08389481,44142.47945,43431.28102
4/3/2022,45859.12891,47313.47656,45634.10547,46453.56641,25414397610,61.8724632,44362.58297,43491.12825
4/4/2022,46445.27344,46791.08984,45235.81641,46622.67578,32499785455,62.394698,44577.82991,43553.13909
